Caso Noticia,Artículo,Tipo de Noticia,Fecha de los Hechos,Fecha de la denuncia,Fecha Última Actuación,Última Actuación,Análisis Proceso
050016099166202264856,ESTAFA. ART. 246 C.P.,QUERELLA,2022-05-25 14:40:00,2022-05-26 09:50:00,2025-07-18 11:47:00,Activado por otra causa,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016100335202212874,ESTAFA. ART. 246 C.P.,QUERELLA,2022-06-30 16:00:00,2022-08-18 09:42:00,2025-07-22 16:17:00,Registro de informacion formal,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016000248202264375,ESTAFA. ART. 246 C.P.,QUERELLA,2022-09-30 00:00:00,2022-10-20 13:34:00,2025-05-07 09:46:00,Registro de informacion formal,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
630016099363202411583,ESTAFA. ART. 246 C.P.,QUERELLA,2024-05-03 08:00:00,2024-05-07 08:12:00,2024-06-25 08:57:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016000248202478431,ESTAFA. ART. 246 C.P.,QUERELLA,2024-11-14 00:36:00,2024-12-10 12:19:00,2025-04-10 13:55:00,Busqueda en bases de datos de acceso publico,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
110016010000202431776,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-08 16:27:00,2024-12-09 15:22:00,2025-01-22 16:14:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
680016000160202441791,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-02 21:20:00,2024-12-10 10:34:00,2025-03-04 15:51:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016100335202410957,ESTAFA. ART. 246 C.P.,QUERELLA,2024-11-09 13:00:00,2024-12-12 12:31:00,2025-01-21 08:46:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016099166202447787,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-02 22:40:00,2024-12-10 13:51:00,2024-12-18 09:22:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016000248202478477,ESTAFA. ART. 246 C.P.,DE OFICIO (INFORMES),2024-10-30 01:00:00,2024-12-10 16:07:00,2024-12-16 09:31:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016000248202444932,ESTAFA. ART. 246 C.P.,QUERELLA,2024-05-17 22:26:00,2024-06-07 13:52:00,2024-08-27 11:55:00,Registro de informacion formal,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
196986000634202411393,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-12 14:00:00,2024-12-16 11:49:00,2025-01-24 08:29:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202447409,ESTAFA. ART. 246 C.P.,QUERELLA,2024-11-02 12:43:00,2024-12-09 09:52:00,2025-07-02 13:32:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016000248202478437,ESTAFA. ART. 246 C.P.,DE OFICIO (INFORMES),2024-10-17 19:32:00,2024-12-10 13:20:00,2025-01-27 13:44:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016100335202410735,ESTAFA. ART. 246 C.P.,QUERELLA,2024-11-06 13:00:00,2024-12-06 09:34:00,2024-12-16 15:38:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
050016100335202410708,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-02 12:00:00,2024-12-05 15:01:00,2025-05-05 16:43:00,Registro de informacion formal,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016100335202410588,ESTAFA. ART. 246 C.P.,QUERELLA,2023-12-28 08:30:00,2024-12-02 07:33:00,2025-01-23 11:24:00,SOLICITUD A DENUNCIANTE DE INFORMACIÓN ADICIONAL,"🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses), ✅ Se puede proceder con el archivo del caso (Solicitud de información pendiente hace más de 2 meses)"
110016099157202415071,ESTAFA. ART. 246 C.P.,QUERELLA,2024-12-03 09:00:00,2024-12-05 13:22:00,2024-12-17 09:48:00,Registro de informacion formal,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
050016099166202446108,ESTAFA. ART. 246 C.P.,QUERELLA,2024-11-12 16:30:00,2024-12-03 11:48:00,2024-12-18 10:18:00,Obtención de documentos,🟡 Avanzar con el proceso (No registra actuación en los últimos 2 meses)
